Rank,Change,Player,W,L,T,PTS,MPD,TMP,TCA,PCA,UfPE,OE,CAσ,Q%,TPA,CAA,PCAA,UfPA,DE,NUfP,QPO,QPO+,QPD,QPD+,OPD,QvH,FW,FL,3PT,MCW,STR
28,even,FrostM2,10,12,3,21,-6,68,50,1.36,33,0.413,1.41,0.362,74,56,1.32,36,0.609,-3,0.775,129,0.971,84,1.021,100,1,2,8,20,W3
29,even,TestermanD,8,14,3,19,-18,61,62,0.98,19,0.186,1.02,0.413,79,65,1.22,23,0.723,-4,0.6,69,1.136,114,0.909,98,2,0,3,15,L1
30,up,BeinishB,8,14,3,19,-27,36,34,1.06,23,0.303,0.93,0.227,63,54,1.17,22,0.725,1,0.529,57,0.952,65,1.028,104,3,0,1,12,W1
31,even,McCauleyJJ,8,14,3,18,-14,47,42,1.12,21,0.284,1.32,0.292,61,51,1.2,30,0.67,-9,0.575,69,0.962,74,0.954,100,1,1,3,18,T1
32,down,UdvariJ,8,13,4,17,-16,45,44,1.02,20,0.244,1.21,0.333,61,54,1.13,27,0.713,-7,0.577,67,1.046,91,0.957,92,1,3,2,13,L1
33,up,BeltK42,6,15,4,15,-27,53,45,1.18,27,0.325,1.17,0.313,80,65,1.23,31,0.68,-4,0.638,87,0.993,81,1.006,109,0,1,5,21,W1
34,down,BarrettCK,5,13,7,14,-21,42,38,1.11,23,0.303,1.14,0.288,63,45,1.4,38,0.553,-15,0.59,74,0.841,56,0.856,109,1,3,1,10,L1
35,even,LorenzoR2,5,16,4,14,-28,55,56,0.98,19,0.198,1.07,0.373,83,67,1.24,33,0.673,-14,0.571,62,1.047,96,0.871,114,2,0,1,19,W1
36,even,GriffinB,6,17,2,13,-29,32,35,0.91,15,0.211,1.1,0.243,61,55,1.11,22,0.747,-7,0.454,32,0.99,72,0.958,110,0,1,3,13,W1
37,up,EnglA,7,15,3,10,-27,35,30,1.17,21,0.339,1.06,0.278,62,50,1.24,27,0.663,-6,0.616,83,0.94,69,1.001,101,1,7,4,17,W1
38,down,KaridesS,3,16,6,10,-55,39,33,1.18,26,0.356,0.93,0.239,94,62,1.52,47,0.489,-21,0.595,78,0.728,34,0.845,98,0,2,4,17,L3
