,id,deceased,current_status,branch_id,branch_name,college,gender,location,referrer,league,username
7902,7902,False,pm,22949,CechL,Allegheny College,Female,"Columbia Station, Ohio",22949,Junction,AdkisonS
12448,12448,False,std,22124,BicksA,Brandeis University,Female,"Washington, DC",4198,Byzantium,AdlandN
54194,54194,False,std,22124,BicksA,University of Rochester,Male,"Durham, North Carolina",12448,Byzantium,AdlandP
64790,64790,False,std,22736,BlackNarwhal,,Male,"Decatur, Georgia",28348,Midland,AdleB
35763,35763,False,std,15422,PopkinJ,,Male,"Cambridge, Massachusetts",15422,Magnolia,AdlerA
63596,63596,False,std,2342,PlatzS,University of Cambridge,Male,"Sausalito, California",41266,Sugarloaf,AdlerK
57006,57006,False,std,25525,MooreRE,Rollins College,Female,"Maitland, Florida",51853,Nova,AdlerN
19542,19542,False,std,22830,Rebassoo,SUNY New Paltz; Burlington College,Male,"Sunderland, Vermont",22830,Badlands,Adolphus
64156,64156,False,std,19044,LeungT,Middlebury College,Male,"Washington, DC",61557,Blue,AdragnaA
25996,25996,False,pm,22691,VeredJ,Stanford,Male,"Santa Monica, California",22691,Laguna,AdusumilliV
59494,59494,False,pm,23677,CrosbyT,Clarkson University,Male,"Malden, Massachusetts",5725,Aurora,Aefskysa
46382,46382,False,std,27748,DeGeorgeD,Southern Connecticut State University,Female,"Minneapolis, Minnesota",15789,Frontier,AffeldtK
20567,20567,False,std,27007,MintzR,Catholic University,Female,"Cranston, Rhode Island",12778,Seneca,AffleckA29
56560,56560,False,topcont,27149,AhernC,University of Texas,Male,"Brooklyn, New York",53561,Maelstrom,Affonso J
63224,63224,False,std,41424,VosperB,,Female,"Seattle, Washington",53546,Arcadia,AffonsoA
38951,38951,False,pm,23811,ChernicoffS,Rensselaer Polytechnic Institute,Male,"Paso Robles, California",18573,Cosmos,AffourtitJ
43058,43058,False,std,20254,BondT,Oxford University,Male,"London, United Kingdom",19960,Outback,AfokeJ
60352,60352,False,pm,29907,LemerA,,Female,"Stamford, Connecticut",29907,Maelstrom,AfrinJ
11464,11464,False,std,29229,CainM,UC Santa Barbara,Male,"Brooklyn, New York",23707,Elysium,AfshordiR
6602,6602,False,std,16050,GrahamD,Swarthmore College / London Business School,Female,"London, United Kingdom",16050,Nebula,AgarSDW
67011,67011,False,topcont,12569,CashionJ,Duke,Male,"New York, New York",40336,Laurel,AgarwalN
39678,39678,False,std,23294,GoodmanLLG,,Male,"Sunnyvale, California",36628,Lyceum,AgarwalP
64494,64494,False,std,14808,NickA,Columbia University,Female,"Philadelphia, Pennsylvania",45902,Laurel,AgarwalPo
39441,39441,False,pm,27451,SchiavenzaM,University of Michigan,Male,"Cambridge, Massachusetts",34883,Savanna,AgarwalR11
2541,2541,False,std,3270,BoylesS,UT Austin/Cornell University,Male,"Phoenix, Arizona",13641,Alpine,AgarwalS
42793,42793,False,std,29858,CassisT,Dartmouth College / University of Pennsylvania,Male,"Singapore, Singapore",34138,Coastal,AgarwalT
49090,49090,False,pm,8251,PerryC2,UCLA,Male,"Chicago, Illinois",44669,Central,AgaseJ
55004,55004,False,pm,8251,PerryC2,University of Illinois at Urbana-Champaign,Male,"Chicago, Illinois",49090,Central,AgaseM
50703,50703,False,std,7786,BlakemoreJ,Cornell University,Male,"Brooklyn, New York",42409,Horizon,AgataA
45585,45585,False,pm,29080,JacobsJ3,Lindenwood,Male,"Pacific, Missouri",42781,Plaza,AgeeM
7551,7551,False,std,19545,LowmasterM,Northwestern University,Male,"Capitola, California",5342,Windward,AgesS
47484,47484,False,std,972,KothariT,UC Berkeley,Male,"Cupertino, California",972,Maritime,AggarwalA
40622,40622,False,topcont,12125,SchneierM,,Female,"Brooklyn, New York",12125,Rainforest,AggelerM
12370,12370,False,std,1277,TowJ,University of Washington,Male,"Washington, DC",29796,Aurora,AggergaardR
48363,48363,False,std,41786,Allen-SilviaZ,,Woman,"Niantic, Connecticut",41786,Central,AglesG
9846,9846,False,cc,2297,IsalesC,Georgia Tech University Institute of North Avenue Trade Schools,Other,"New York, New York",24460,Memorial,AgocsC
61593,61593,False,std,18540,VaidyaR,Duke University,Male,"San Francisco, California",57175,Prairie,AgrawalV
62675,62675,False,std,3716,CherlinR,Swarthmore,Female,"Washington, DC",53317,Galaxy,AgrestaA
51286,51286,False,std,13522,SheahanJ,George Washington University,Female,"Arlington, Virginia",24131,Sakura,AgrestiB
27306,27306,False,std,21068,HightowerT,,Female,"Seattle, Washington",23448,Volcano,AguadoA
27149,27149,False,std,27149,AhernC,University of Virginia,Male,"Washington, DC",17812,Maelstrom,AhernC
64527,64527,False,std,21182,ZollmanA,,Other,"Brooklyn, New York",21182,Bayou,AhernC2
46388,46388,False,std,4133,WilliamsC3,,Male,"Providence, Rhode Island",43912,Laguna,AhernDC
49096,49096,False,std,36860,DeFiestaN,Georgetown University,Male,"Newark, New Jersey",43013,Centennial,AherneD
44610,44610,False,std,3551,SubramanianA,San Francisco State University,Male,"Pacifica, California",22472,Evergreen,AhlbachJ
45850,45850,False,pm,10937,WooleyE,,Male,"Canton, Georgia",44223,Blue,AhlfieldJ
12530,12530,False,cc,12530,AhluwaliaS,University of Washington,Male,"Seattle, Washington",13564,Canyon,AhluwaliaS
57583,57583,False,std,9778,KruegerS,,Female,"San Francisco, California",51825,Meadow,Ahmed WhitfieldRumesha
59485,59485,False,pm,27451,SchiavenzaM,"Georgia Tech, Auburn University",Male,"San Antonio, Texas",18706,Savanna,AhmedH
42917,42917,False,pm,8186,ShahSR,,Female,"Boston, Massachusetts",8486,Orange,AhmedHS
18706,18706,False,pm,27451,SchiavenzaM,University of Iowa,Female,"New York, New York",27451,Savanna,AhmedMZ
24192,24192,False,std,9936,TolanyB,University of Texas at Austin,Male,"Chaska, Minnesota",4883,River,AhmedO
44741,44741,False,pm,24908,WatkinsAF,UCLA,Male,"La Canada, California",24908,Patagonia,AhmedQ
43931,43931,False,std,4133,WilliamsC3,,Male,"Los Angeles, California",40967,Laguna,AhmedR
44976,44976,False,std,17497,GreilingE,University of Waterloo,Male,"Chicago, Illinois",16479,Village,AhmedS7
58381,58381,False,std,18299,SmithP,University of Virginia,Male,"Brentwood, Maryland",17702,Forest,AhmedZ2
11222,11222,False,std,11222,AhnM,Case Western Reserve University,Male,"Cleveland, Ohio",5778,Orange,AhnM
34539,34539,False,std,16657,CrosslandC,University of Groningen,Male,"Groningen, Netherlands",16657,Highland,AhrensF
60040,60040,False,std,29753,OakesJ,Massachusetts Institute of Technology,Man,"Bethesda, Maryland",34778,Glacier,AicheleMan
35929,35929,False,std,11988,WoodwardTC,American Military University,Male,"West Carrollton , Ohio",29133,Atlantic,AielloC
50042,50042,False,pm,17143,HegertyA,"Binghamton University, Simmons College",Female,"Northfield, Illinois",45400,Meridian,AielloJ
21510,21510,False,std,28536,HelvestineW,Harvard,Male,"North Hollywood, California",7499,Tundra,AieseE
37268,37268,False,std,19459,CruikshankE,University of Maryland (College Park),Male,"Potomac, Maryland",19459,Corridor,AikenB
66056,66056,False,topcont,21848,ChuS,Yale University,Female,"Croton On Hudson, New York",21848,Plaza,AinM
42616,42616,False,std,13023,AinslieM,,Male,"Swarthmore, Pennsylvania",20237,Commonwealth,AinslieI
13023,13023,False,pm,13023,AinslieM,Washington University in St. Louis,Male,"Swarthmore, Pennsylvania",9104,Commonwealth,AinslieM
20237,20237,False,pm,13023,AinslieM,Carleton College,Female,"Swarthmore, Pennsylvania",13023,Commonwealth,AinslieM2
14832,14832,False,std,13023,AinslieM,Northwestern University,Male,"Philadelphia, Pennsylvania",13023,Commonwealth,AinslieR
54742,54742,False,std,13820,SillsS,Reed College,Female,"Washington, DC",39385,Pioneer,AiriNK
52836,52836,False,std,39488,MeyerR,University of Illinois,Female,"Longmont, Colorado",42697,Centennial,AitchisonK
17066,17066,False,std,10720,CooperM,Cambridge University,Male,"London, United Kingdom",14501,Galaxy,AitkenheadI
66442,66442,False,topcont,15225,JansenL,,Male,"Chicago, Illinois",38593,Sequoia,AizenbergB
14925,14925,False,std,8994,MikulisK,Columbia University,Female,"New York City, New York",7972,Bayou,AkabasM
17885,17885,False,std,14051,O'Mahoney-SchwartzD,Duke University,Male,"Annandale, Virginia",20296,Savanna,AkawieE
67519,67519,False,std,19044,LeungT,Western Michigan University,Male,"Bath, Michigan",19044,Blue,AkensD
6011,6011,False,std,20543,StephensW,MIT,Female,"Falls Church, Virginia",25154,Typhoon,AkermanN
34796,34796,False,std,6196,ChangK,University of Memphis,Male,"Memphis, Tennessee",22361,Seaboard,AkersG
9746,9746,False,std,9211,CookSB,University of Tennessee,Male,"Crossville, Tennessee",7293,Metro,AkinR
68105,68105,False,topcont,21082,EllowitzC,,----,"Angers, France",25038,Quarry,AkkaouiM
37485,37485,False,std,20043,SamburgM,Brandeis University,Female,"Washington, DC",20043,Skyline,AkselrodH
61315,61315,False,std,17007,GreenzweigG,University of Kentucky,Female,"Findlay, Ohio",44739,Nova,Al-JumailyA
25582,25582,False,pm,25582,AlailimaT,University of Pennsylvania,Male,"Cambridge, Massachusetts",23295,Patagonia,AlailimaT
42137,42137,False,std,10907,DAddarioD,Oberlin,Male,"Brooklyn, New York",10907,Patagonia,AlamR
19959,19959,False,std,11381,SchroederK,Stephen F. Austin State,Male,"Houston, Texas",11381,Patagonia,AlanizJC217
54020,54020,False,std,18728,GrahamJ,New York University,Female,"Silver Spring, Maryland",50700,Badlands,AlanoS
34320,34320,False,std,34320,AlappattuJ,Northwestern,Male,"Campbell, California",29723,Typhoon,AlappattuJ
18580,18580,False,std,24858,BakerH,"University of California, Los Angeles",Male,"Los Angeles, California",18114,Windward,AlaverdyanM
41736,41736,False,cc,3598,WilliamsN,"Chico(BA/BS), Davis(MS,Ph..D), Fullerton(Con Ed), West Point (Post-doc), Temple, Villanova......",Male,"Tampa, Florida",25507,Alpine,AlawaysL
20820,20820,False,std,20820,AlayonJ,The George Washington University,Male,"Philadelphia, Pennsylvania",23714,Forest,AlayonJ
19335,19335,False,pm,12583,LowdenB,Princeton University,Male,"Brooklyn, New York",12583,Elysium,AlbanD
46483,46483,False,std,33969,PorcelloM,St. John's College,Male,"Arlington, Virginia",43768,Woodlands,AlbaneseM
43803,43803,False,std,28291,RoosS,Creighton University,Male,"Philadelphia, Pennsylvania",34406,Cherry,AlbersJ
41843,41843,False,std,41352,FlatnessJ,Villanova University,Male,"Alexandria, Virginia",41352,Atlantic,AlbersK
36560,36560,False,pm,4747,SymonsK,Vassar College,Male,"Los Angeles, California",34798,Pacific,AlbersP
6458,6458,False,std,27863,PhelanME,"The Ohio State University, Cornell University",Male,"Ithaca, New York",19009,Yukon,AlbertB
12143,12143,False,pm,12354,HolcombR,Princeton University,Male,"Mendham, New Jersey",29849,Olive,AlbertJ
22365,22365,False,pm,25833,AlbertMandyL,Penn State University,Male,"Boynton Beach, Florida",25833,Midland,AlbertJB
22608,22608,False,topcont,27863,PhelanME,Ohio State,Male,"Dublin, Ohio",6458,Yukon,AlbertL
29662,29662,False,cc,11988,WoodwardTC,"University of Illinois Urbana-Champaign, DePaul University",Male,"Las Vegas, Nevada",3055,Atlantic,AlbertM
25833,25833,False,pm,25833,AlbertMandyL,Duke University,Female,"Boynton Beach, Florida",17846,Midland,AlbertMandyL
15013,15013,False,std,9661,PantoneJ,Otago University,Male,"Dunedin, New Zealand",9661,Cascade,AlbertMichael
51443,51443,False,std,20295,MarshC,Yale University,Female,"Baltimore, Maryland",25221,Foundry,AlbertsR
51655,51655,False,std,6196,ChangK,Earlham,Male,"Minneapolis, Minnesota",6845,Seaboard,AlbertsonA
52515,52515,False,std,20529,ReffJ,SDSU,Male,"Carlsbad, California",12329,Utopia,AlbertsonB
6935,6935,False,std,6935,AlbertsonJC,Dartmouth,Male,"New York, New York",26521,Yukon,AlbertsonJC
36165,36165,False,pm,21218,AntiochosB,University of Maryland,Male,"Tualatin, Oregon",21578,Quarry,AlbertyM
58858,58858,False,std,1606,TurnerJ2,,Female,"Toronto, Ontario",22881,Magnolia,AlbinoM
63513,63513,False,std,3029,OlmanJ,West Chester University,Male,"West Chester, Pennsylvania",57129,Union,AlbrechtA
26583,26583,False,cc,22198,JayI,Harvard University,Male,"Ambler, Pennsylvania",1706,Frontier,AlbrechtJ
17356,17356,False,std,14784,RamadeiJ,,Male,"New York, New York",25207,Serengeti,AlbrechtM
25120,25120,False,std,22198,JayI,Rutgers University,Male,"Toms River, New Jersey",26583,Frontier,AlbrechtZ
25280,25280,False,std,17128,MaebiusA,University of Tennessee,Male,"Greensboro, North Carolina",12656,Highland,AlbrightM
43843,43843,False,std,6132,McKinneyWC,"Blue Devils, Cardinal",Male,"Charlotte, North Carolina",41128,Fjord,AlcornG
28392,28392,False,std,28392,AlcornS,The Catholic University of America,Male,"Washington, DC",24627,Zephyr,AlcornS
58709,58709,False,std,29332,ZieglerP,Trinity University,Female,"Austin, Texas",52977,Tundra,AldenL
42599,42599,False,std,26817,AmuzieCC,Minnesota State University - Mankato,Female,"Lauderdale, Minnesota",6105,Palisade,AldenN
66854,66854,False,topcont,29332,ZieglerP,University of Texas,Male,"Georgetown, Texas",58709,Tundra,AldenR2
36341,36341,False,std,27007,MintzR,Georgetown,Male,"Utqiagvik, Alaska",25592,Seneca,AldermanD
14292,14292,False,pm,10946,McGeeQ,Case Western Reserve University,Male,"Brooklyn, New York",10946,Sugarloaf,AldershofN
8804,8804,False,std,9510,WeberE,Washington University in St. Louis,Male,"Washington, DC",20519,Citadel,AldrichD
41387,41387,False,std,10563,DimitriCRob,Alfred University,Female,"Ithaca, New York",36492,Horizon,AldrichK
36224,36224,False,cc,29920,MartinN,UC Berkeley,Male,"New York, New York",12857,Laguna,AlekarS
20202,20202,False,std,13694,SellM,Cornell University,Female,"Fairfax, Virginia",13694,Olive,AlessiC
